xi,SR1,SS1,V1,S1,T1,SR2,SS2,V2,S2,T2,SR3,SS3,V3,S3,T3,SR4,SS4,V4,S4,T4,SR5,SS5,V5,S5,T5,SR6,SS6,V6,S6,T6,SR7,SS7,V7,S7,T7
1.00,0.00,14.20,17200.00,0.00,119.00,0.00,12.00,10500.00,0.00,101.00,0.00,8.84,9320.00,0.00,74.20,0.00,16.80,9760.00,0.00,141.00,0.00,11.50,6750.00,0.00,96.20,0.00,10.60,5650.00,0.00,89.20,0.00,13.70,6180.00,0.00,115.00
2.00,0.00,36.60,18400.00,0.00,307.00,0.00,33.50,12500.00,0.00,281.00,0.00,30.40,10900.00,0.00,255.00,0.00,36.70,9820.00,0.00,308.00,0.00,31.40,8250.00,0.00,263.00,0.00,30.00,7430.00,0.00,252.00,0.00,32.70,7650.00,0.00,274.00
3.00,0.00,68.00,18600.00,0.00,571.00,0.00,63.50,13500.00,0.00,533.00,0.01,59.80,11900.00,0.00,502.00,0.01,63.80,9740.00,0.00,535.00,0.01,58.50,8900.00,0.00,491.00,0.01,56.40,7960.00,0.00,474.00,0.01,58.70,7990.00,0.00,493.00
4.00,0.01,113.00,19000.00,0.00,948.00,0.01,106.00,13900.00,0.00,889.00,0.01,101.00,12200.00,0.00,851.00,0.01,102.00,9710.00,0.01,855.00,0.01,96.50,9200.00,0.01,810.00,0.01,93.30,8370.00,0.01,783.00,0.01,95.70,8550.00,0.01,803.00
5.00,0.01,178.00,19000.00,0.01,1490.00,0.01,167.00,14100.00,0.01,1400.00,0.01,160.00,12000.00,0.01,1350.00,0.02,156.00,9670.00,0.01,1310.00,0.02,151.00,9240.00,0.01,1260.00,0.02,146.00,8570.00,0.01,1230.00,0.02,148.00,8450.00,0.01,1240.00
6.00,0.01,272.00,18900.00,0.01,2280.00,0.02,255.00,14100.00,0.01,2140.00,0.02,245.00,11900.00,0.01,2060.00,0.02,235.00,9550.00,0.01,1970.00,0.03,229.00,9160.00,0.01,1920.00,0.03,222.00,8550.00,0.01,1870.00,0.03,224.00,8560.00,0.01,1880.00
7.00,0.02,409.00,18700.00,0.01,3430.00,0.03,384.00,13900.00,0.02,3220.00,0.03,367.00,11600.00,0.02,3080.00,0.04,348.00,9350.00,0.02,2920.00,0.04,340.00,8720.00,0.02,2850.00,0.04,331.00,8130.00,0.02,2780.00,0.04,332.00,8140.00,0.02,2790.00
8.00,0.03,608.00,18300.00,0.02,5100.00,0.04,569.00,13400.00,0.02,4780.00,0.05,543.00,11100.00,0.03,4560.00,0.06,511.00,8860.00,0.03,4290.00,0.06,496.00,7760.00,0.03,4160.00,0.07,482.00,7180.00,0.04,4050.00,0.06,487.00,7780.00,0.03,4090.00
9.00,0.05,898.00,17600.00,0.03,7530.00,0.07,836.00,12500.00,0.04,7020.00,0.08,794.00,10200.00,0.04,6660.00,0.10,738.00,7700.00,0.05,6200.00,0.12,701.00,6020.00,0.06,5880.00,0.12,678.00,5550.00,0.07,5690.00,0.11,696.00,6170.00,0.06,5840.00
10.00,0.08,1320.00,16200.00,0.04,11000.00,0.12,1210.00,10400.00,0.06,10100.00,0.13,1140.00,8490.00,0.07,9570.00,0.18,1030.00,5820.00,0.10,8650.00,0.23,927.00,4120.00,0.12,7780.00,0.23,896.00,3900.00,0.13,7520.00,0.21,936.00,4390.00,0.12,7860.00
